#Archivo DAT, Proyecto Final EII410 (Instancia E8_21_50_40)
set C:= 1,2,3,4,5,6,7,8,9,10,11,12;
set D:= 13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30;
set N:= 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30;
set S:= 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30;
set R:= (1,0),(3,2),(6,5),(8,7),(11,9),(13,10),(14,12),(16,15),(21,18),(23,20);

param c:
    0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	14	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	20	22	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	15	20	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	20	45	10	25	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	35	20	35	20	15	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10	11	17	12	10	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	16	15	10	26	17	18	28	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	19	15	27	20	21	29	22	25	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	24	25	20	34	26	65	27	47	23	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	23	33	12	54	43	40	23	9	34	12	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	27	21	53	23	12	33	23	24	14	7	12	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	10	39	23	76	23	31	19	11	20	19	26	13	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	18	34	22	43	87	34	29	34	22	8	21	12	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	11	23	65	53	26	54	23	79	34	29	12	21	23	65	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	15	23	54	33	12	34	9	26	92	27	43	22	12	87	28	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	25	32	23	78	26	87	22	67	35	23	27	69	44	55	26	50	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	25	65	23	12	76	56	54	32	45	97	56	43	24	87	44	56	45	20	0	0	0	0	0	0	0	0	0	0	0	0	0
19	45	34	22	54	54	98	45	23	12	67	86	45	34	89	56	46	34	10	60	0	0	0	0	0	0	0	0	0	0	0	0
20	23	87	67	65	88	33	57	43	23	45	8	67	45	64	97	12	23	63	77	98	0	0	0	0	0	0	0	0	0	0	0
21	12	29	87	47	98	56	43	23	87	25	92	23	2	34	89	26	66	45	42	27	34	0	0	0	0	0	0	0	0	0	0
22	14	98	34	78	55	42	78	66	45	23	47	62	69	38	23	30	80	97	34	34	23	43	0	0	0	0	0	0	0	0	0
23	22	43	98	34	78	34	28	98	23	39	92	43	36	85	73	35	38	27	42	79	34	37	89	0	0	0	0	0	0	0	0
24	34	33	89	23	54	78	66	45	34	96	56	32	76	44	23	87	57	52	68	62	93	34	33	18	0	0	0	0	0	0	0
25	87	45	89	45	64	68	34	13	56	76	85	34	67	98	57	51	39	67	56	65	24	78	23	34	69	0	0	0	0	0	0
26	12	45	43	98	46	56	52	98	52	67	45	12	42	29	61	78	51	67	52	19	67	34	93	76	24	79	0	0	0	0	0
27	23	42	35	29	87	56	34	87	28	97	34	78	24	79	73	59	92	78	34	86	39	73	42	19	48	82	23	0	0	0	0
28	44	67	33	30	12	30	20	17	83	39	24	12	83	80	30	70	34	87	32	34	79	24	93	20	29	34	17	29	0	0	0
29	32	58	34	86	97	24	85	58	24	69	56	41	14	84	85	49	31	56	21	20	16	24	33	92	24	42	92	34	89	0	0
30	29	32	17	45	23	47	29	7	19	34	39	28	34	97	27	69	34	8	24	82	42	29	53	79	42	24	99	35	24	93	0;

param a:=
13	7
14	18
15	7
16	14
17	13
18	13
19	12
20	16
21	15
22	11
23	17
24	13
25	17
26	14
27	12
28	19
29	15
30	17;

param b:=
1	15
2	20
3	14
4	13
5	12
6	10
7	8
8	10
9	12
10	13
11	13
12	14;

param M:=
1	150
2	160
3	140
4	170
5	130
6	120
7	180
8	110
9	190
10	100
11	200
12	150;

param Q:= 250;
