#Archivo DAT, Proyecto Final EII410 (Instancia E8_11_30_30)
set C:= 1,2,3,4,5,6;
set D:= 7,8,9,10,11,12,13,14,15,16,17,18,19,20;
set N:= 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
set S:= 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
set R:= (2,0),(5,3),(7,4),(9,5),(12,7),(15,10),(17,12),(18,14),(20,16),(19,18);

param c:
    0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20 :=
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	14	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	20	22	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	15	20	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	20	45	10	25	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	35	20	35	20	15	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10	11	17	12	10	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	16	15	10	26	17	18	28	34	0	0	0	0	0	0	0	0	0	0	0	0	0
9	19	15	27	20	21	29	22	25	23	0	0	0	0	0	0	0	0	0	0	0	0
10	24	25	20	34	26	65	27	47	23	15	0	0	0	0	0	0	0	0	0	0	0
11	23	33	12	54	43	40	23	9	34	12	32	0	0	0	0	0	0	0	0	0	0
12	27	21	53	23	12	33	23	24	14	7	12	15	0	0	0	0	0	0	0	0	0
13	10	39	23	76	23	31	19	11	20	19	26	13	34	0	0	0	0	0	0	0	0
14	18	34	22	43	98	34	29	34	22	8	21	12	5	23	0	0	0	0	0	0	0
15	11	23	65	53	26	54	23	79	34	29	12	21	23	65	23	0	0	0	0	0	0
16	15	23	54	33	12	34	9	26	92	27	43	22	12	87	28	30	0	0	0	0	0
17	25	32	23	78	26	87	22	67	35	23	27	69	44	55	26	50	65	0	0	0	0
18	25	65	23	12	76	56	54	32	45	97	56	43	24	87	44	56	45	20	0	0	0
19	45	34	22	54	54	98	45	23	12	67	86	45	34	89	56	46	34	10	60	0	0
20	23	87	67	65	88	33	57	43	23	45	8	67	45	64	97	12	23	63	77	98	0;


param a:=
7	15
8	10
9	15
10	14
11	13
12	14
13	17
14	29
15	25
16	14
17	23
18	13
19	22
20	16;

param b:=
1	15
2	20
3	14
4	13
5	12
6	10;

param M:=
1	150
2	160
3	140
4	170
5	130
6	120;

param Q:= 240;
